,ingredientID,ingredients,recipeinfo,recipename,internal_list
18,"2829,5520,5821,5375,20453,3701,4397,4342,2496,3717,20551,21130,16261","dry lentils,chicken bouillon,Mexican chorizo, casing removed and meat crumbled,bacon,Roma (plum) tomato, diced,tomatillo, diced,white onion, diced,garlic, minced,water,cilantro, chopped,cumin,crumbled cotija cheese, divided,sour cream, divided",https://www.allrecipes.com/recipe/214387/lentils-with-chorizo/,/214387/,"dry lentils,chicken bouillon,Mexican chorizo, casing meat,bacon,Roma (plum) tomato,tomatillo,white onion,garlic,water,cilantro,cumin,cotija cheese,sour cream"
19,"1527,3789,16258,16386","confectioners' sugar,shredded coconut,cream,ground cinnamon",https://www.allrecipes.com/recipe/10888/irish-potatoes/,/10888/,"confectioners' sugar,coconut,cream,ground cinnamon"
21,"5274,16421,16406,2496,4397,4279,16381,23383","Pork, fresh, leg (ham), shank half, separable lean and fat, raw,salt,ground black pepper,boiling water,onion, finely chopped,carrot, chopped,caraway seeds,black peppercorns, crushed",https://www.allrecipes.com/recipe/283667/bavarian-pork-leg-schweinshaxe/,/283667/,"Pork, fresh, leg (ham), shank half, separable lean fat, raw,salt,ground black pepper,boiling water,onion,carrot,caraway seeds,black peppercorns"
22,"2362,1526,2496,16347,2496,6300,1502,16421,1686,16157","active dry yeast,sugar,warm water (110 degrees F/45 degrees C),evaporated milk,warm water,shortening, melted,honey,salt,bread flour,butter, melted",https://www.allrecipes.com/recipe/23816/blue-ribbon-white-bread/,/23816/,"active dry yeast,sugar,warm water (110 degrees F/45 degrees C),evaporated milk,warm water,shortening,honey,salt,bread flour,butter"
23,"2960,6307,16406,4279,4397,4378,4342,16418,2496,23274,1644,4357,2871,4786,4405","firm tofu, diced into 1/2-inch pieces,olive oil, divided,ground black pepper,carrots, diced,onion, chopped,sliced fresh mushrooms,garlic, minced,ground turmeric,water,vegetable broth,quinoa,kale, chopped,miso paste,red bell pepper, chopped,green onions, sliced",https://www.allrecipes.com/recipe/276865/vegan-miso-soup/,/276865/,"firm tofu,olive oil,ground black pepper,carrots,onion,fresh mushrooms,garlic,ground turmeric,water,vegetable broth,quinoa,kale,miso paste,bell pepper,green onions"
25,"2496,21042,5015,4994,4279,6379,19315,1525,16424,1684,22082,2356,16386,16401,2359,16387,16421","warm water,ground flaxseed,over-ripe bananas, mashed,applesauce,grated carrots,vegetable oil,almond milk,brown sugar,vanilla extract,all-purpose flour,quick oats,baking powder,ground cinnamon,ground nutmeg,baking soda,ground cloves,salt",https://www.allrecipes.com/recipe/275200/healthy-vegan-morning-muffins/,/275200/,"warm water,ground flaxseed,over-ripe bananas,applesauce,carrots,vegetable oil,almond milk,brown sugar,vanilla extract,all-purpose flour,quick oats,baking powder,ground cinnamon,ground nutmeg,baking soda,ground cloves,salt"
26,"9725,4342,4664,16403,16421,9320,27815,2112,16238,16317,4409","extra-virgin olive oil,garlic, finely chopped, divided,crushed tomatoes,dried oregano,salt, divided,turkey sausage, casings removed and crumbled,lean ground turkey,plain dry bread crumbs,freshly grated Parmesan cheese,eggs,chopped fresh parsley",https://www.allrecipes.com/recipe/276457/slow-cooker-turkey-sausage-meatballs/,/276457/,"extra-virgin olive oil,garlic,tomatoes,oregano,salt,turkey sausage, casings,lean ground turkey,plain dry bread crumbs,freshly Parmesan cheese,eggs,fresh parsley"
27,"5017,3686,2496,3725,16422,1502,4342,18744,5111,1636,2496,6531,6305,ba45e437c0d5783d17b992abd8c67874","fresh blackberries,ketchup,water,fresh jalapeno peppers, sliced,cider vinegar,honey,garlic, minced,liquid smoke flavoring,limes, juiced,cornstarch,water,chicken wings,vegetable oil,salt and ground black pepper to taste",https://www.allrecipes.com/recipe/283688/hot-blackberry-bbq-chicken-wings/,/283688/,"fresh blackberries,ketchup,water,fresh jalapeno peppers,cider vinegar,honey,garlic,liquid smoke flavoring,limes,cornstarch,water,chicken wings,vegetable oil,salt ground black pepper to taste"
28,"4357,26711,5194,34997,5015,3743,10843","chopped kale,frozen mango chunks,frozen pineapple chunks,almond-coconut milk, or more if needed,banana,chia seeds,flax seed",https://www.allrecipes.com/recipe/278625/vegan-kale-smoothie/,/278625/,"kale,mango chunks,pineapple chunks,almond-coconut milk, or more if,banana,chia seeds,flax seed"
29,"5235,5107,8817","frozen sliced strawberries,lemon juice,granular sucralose sweetener (such as Splenda®), or to taste",https://www.allrecipes.com/recipe/280162/frozen-strawberry-jam/,/280162/,"strawberries,lemon juice,granular sucralose sweetener (such Splenda®), or to taste"
30,"4147,4397,ba45e437c0d5783d17b992abd8c67874,2496,18765,2795,16835,4371,4572,16215,11390","lean ground beef,onion, finely diced,salt and ground black pepper to taste,water,taco seasoning mix,dark red kidney beans, drained,nacho cheese-flavored corn chips (such as Doritos®), crushed,romaine lettuce, chopped,tomatoes, diced,shredded Cheddar cheese, or more to taste,Catalina salad dressing, or to taste",https://www.allrecipes.com/recipe/283687/doritos-taco-salad/,/283687/,"lean ground beef,onion,salt ground black pepper to taste,water,taco seasoning mix,dark kidney beans,nacho cheese- corn chips (such Doritos®),romaine lettuce,tomatoes,cheese, or more to taste,Catalina salad dressing, or to taste"
31,"16223,16243,27959,16317,16319,16424","cream cheese, softened,ricotta cheese,low-calorie natural sweetener (such as Swerve®),eggs,egg yolks,vanilla extract",https://www.allrecipes.com/recipe/285449/jens-keto-cheesecake-cupcakes/,/285449/,"cream cheese,ricotta cheese,low-calorie natural sweetener (such Swerve®),eggs,egg yolks,vanilla extract"
33,"20318,20269,12341,18888,4409,6307,16423,16421,16406,1526","Yukon Gold potatoes, unpeeled,red onion, thinly sliced,sliced pitted Kalamata olives,red wine vinegar,chopped fresh parsley,olive oil,chopped fresh thyme leaves,salt,pepper,white sugar",https://www.allrecipes.com/recipe/283675/warm-potato-salad-with-olives/,/283675/,"Yukon Gold potatoes,onion,Kalamata olives,wine vinegar,fresh parsley,olive oil,fresh thyme leaves,salt,pepper,white sugar"
34,"16158,6294,16391,6496,4978,4292,4405,10866,5219,ba45e437c0d5783d17b992abd8c67874","plain yogurt,mayonnaise,curry powder,shredded cooked chicken breast,apple, peeled and diced,celery, diced,green onion, finely chopped, or more to taste,sliced almonds,raisins,salt and ground black pepper to taste",https://www.allrecipes.com/recipe/285535/quick-and-easy-curry-chicken-salad-for-lunches/,/285535/,"plain yogurt,mayonnaise,curry powder,chicken breast,apple,celery,green onion, or more to taste,almonds,raisins,salt ground black pepper to taste"
35,"2750,9c5dcfa759dc151839d5877c0a18e4af,16339,20205,1536,12057,16421","frozen salmon fillets,salt and freshly ground black pepper to taste,unsalted butter,bourbon,pure maple syrup,Sriracha sauce, or more to taste,salt",https://www.allrecipes.com/recipe/283676/air-fryer-salmon-with-maple-bourbon-glaze/,/283676/,"salmon fillets,salt freshly ground black pepper to taste,butter,bourbon,pure maple syrup,Sriracha sauce, or more to taste,salt"
36,"16223,6300,1526,16317,1684,16278,5110,2356,16421,1526,5107","cream cheese, softened,shortening,white sugar,eggs,unsifted all-purpose flour,milk,grated lemon zest,baking powder,salt,white sugar,lemon juice",https://www.allrecipes.com/recipe/273692/lemon-cream-bundt-cake/,/273692/,"cream cheese,shortening,white sugar,eggs,all-purpose flour,milk,lemon zest,baking powder,salt,white sugar,lemon juice"
